animal_number,animal_tag_id,animal_life_no,lactation_days,report_date,day_production,rumination_minutes,intake_total,rest_feed,failures,milkings,fat_protein_ratio,scc_indication,refusals,day_production_dev,source_file
202,3087167,DD1480,95,2026-04-01,89.1,544,12.92,3.79,0,2,1.22,9,0,-11.68,Voice Agent Report Historical 4.2.1.csv
203,5926241,US DD1671,82,2026-04-01,116.8,596,13.4,6.95,0,2,1.14,,0,-11.68,Voice Agent Report Historical 4.2.1.csv
204,5925507,US DD1634,2,2026-04-01,40.8,449,4.66,0.06,0,3,0.93,,4,6.39,Voice Agent Report Historical 4.2.1.csv
205,5925505,DD1413,250,2026-04-01,56.9,481,6.7,0.9,0,1,1.31,,0,-0.22,Voice Agent Report Historical 4.2.1.csv
206,3543433,DD1530,250,2026-04-01,55.1,250,12.5,0.14,0,2,1.6,63,3,-6.61,Voice Agent Report Historical 4.2.1.csv
207,3086128,DD1543,253,2026-04-01,71.2,632,15.31,0.18,0,3,1.05,,0,-1.1,Voice Agent Report Historical 4.2.1.csv
208,6633192,US DD1689,120,2026-04-01,110.4,247,21.31,0.47,0,5,1.26,23,4,-9.48,Voice Agent Report Historical 4.2.1.csv
210,6632735,US DD1691,394,2026-04-01,75.8,453,14.46,0.34,0,4,1.4,,15,-5.95,Voice Agent Report Historical 4.2.1.csv
211,6641911,DD1440,337,2026-04-01,95.2,504,22.22,0.47,0,4,1.29,,0,-1.98,Voice Agent Report Historical 4.2.1.csv
212,6635120,US DD1693,332,2026-04-01,,540,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
213,6635043,DD1507,259,2026-04-01,74.7,522,14.04,0.28,0,3,1.32,,0,-1.98,Voice Agent Report Historical 4.2.1.csv
214,6635135,DD1511,291,2026-04-01,71,545,18.41,0.25,0,4,1.31,,0,-2.2,Voice Agent Report Historical 4.2.1.csv
215,6641856,US 1788,21,2026-04-01,73.6,441,12.84,0.21,0,3,1,,3,7.28,Voice Agent Report Historical 4.2.1.csv
216,6634679,US DD1642,222,2026-04-01,70.3,440,6.7,4.16,0,1,1.27,,0,-15.21,Voice Agent Report Historical 4.2.1.csv
217,6634709,US DD1706,40,2026-04-01,126.5,570,18.21,0.3,0,3,1.08,11,1,-0.22,Voice Agent Report Historical 4.2.1.csv
218,6632897,US DD1712,74,2026-04-01,94.1,274,16.73,0.35,0,3,1.1,226,0,-6.83,Voice Agent Report Historical 4.2.1.csv
220,6633304,DD1506,411,2026-04-01,,569,,,,,,,,,Voice Agent Report Historical 4.2.1.csv
221,6635124,US DD1836,200,2026-04-01,101,474,13.33,5.63,0,2,1.34,,0,4.63,Voice Agent Report Historical 4.2.1.csv
222,6632589,DD1455,229,2026-04-01,89.1,363,22.98,0.43,0,4,1.48,1147,0,-5.51,Voice Agent Report Historical 4.2.1.csv
