"","","Attention","","","","","",""
"Animal Number","Animal Tag Id","Sensor","Value","Severeness","Sick Chance","Activity","Disease Name","Lactation day category"
"1250","","","","","","","",""
"1251","","","","","","","",""
"60","3087116","Fresh cow performance<br/>","52    <br/>","<span style='width:50%'class='severnesslinebar'></span><br/>","","","","I"
"1253","","","","","","","",""
"30","3087392","Fat Protein Ratio<br/>","0.79  <br/>","<span style='width:50%'class='severnesslinebar'></span><br/>","","","","I"
"216","6634679","","","","","","BRSV vaccination","IV"
"1256","","","","","","","",""
"20039","","","","","","","",""
"257","6634640","Conductivity LR<br/>Mastitis LR<br/>Fresh cow performance<br/>Milk Temperature<br/>","107   <br/> <br/>67    <br/>102.7  <br/>","<span style='width:81%'class='severnesslinebar'></span><br/><span style='width:62%'class='severnesslinebar'></span><br/><span style='width:37%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","x","","","I"
"247","6641939","Fat Protein Ratio<br/>","1.05  <br/>","<span style='width:6%'class='severnesslinebar'></span><br/>","","","","I"
"265","6641319","Fat Protein Ratio<br/>","1.01  <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","","I"
"137","3087194","Fat Protein Ratio<br/>","0.93  <br/>","<span style='width:43%'class='severnesslinebar'></span><br/>","","","Mastitis vaccination","I"
"1261","","","","","","","Dryoff","I"
"27","3087387","Activity(rumination)<br/>Fresh cow performance<br/>","84    <br/>71    <br/>","<span style='width:56%'class='severnesslinebar'></span><br/><span style='width:25%'class='severnesslinebar'></span><br/>","x","","","I"
"2","3086479","Conductivity RR<br/>Fat Protein Ratio<br/>","87    <br/>1.03  <br/>","<span style='width:18%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/>","","","Metritis","I"
"1264","","","","","","","",""
"17","3086731","","","","","","Acute Mastitis (acute catarrhal mastitis)","V"
"39","6642027","","","","","","Dryoff","V"
"203","5926241","Milk Drop<br/>Milk Temperature<br/>Fat Protein Ratio<br/>","-18.0  <br/>102.7  <br/>1.03  <br/>","<span style='width:87%'class='severnesslinebar'></span><br/><span style='width:12%'class='severnesslinebar'></span><br/><span style='width:6%'class='severnesslinebar'></span><br/>","x","","BRSV vaccination","II"
"1266","","","","","","","",""
"746","3351299","","","","","","","I"
"43","3086557","","","","","","BRSV vaccination","I"
"1268","","","","","","","",""
"1269","","","","","","","",""
"1270","","","","","","","",""
"20041","","","","","","","",""
"1271","","","","","","","",""
"193","6635122","Activity(rumination)<br/>","89    <br/>","<span style='width:12%'class='severnesslinebar'></span><br/>","","","BRSV vaccination","IV"
"188","6632868","","","","","","Vaccinations","V"
"568","3184472","Mastitis RR<br/>Conductivity RR<br/>"," <br/>99    <br/>","<span style='width:62%'class='severnesslinebar'></span><br/><span style='width:18%'class='severnesslinebar'></span><br/>","","","Metritis","II"
"212","6635120","Activity(rumination)<br/>","86    <br/>","<span style='width:37%'class='severnesslinebar'></span><br/>","","","Vaccinations","V"
"208","6633192","Milk Temperature<br/>","103.4  <br/>","<span style='width:37%'class='severnesslinebar'></span><br/>","","","Female infertility","III"
