"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.0","26.5","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"803","","","DD1524","1","262","50.9","Inseminated","ANGUS BLEND 17","2026-03-04","x","","","","In Lactation","","19.4","50.9","0","x","","2025-07-25","5927959"
"140","","","DD1525","1","259","50.7","Pregnant","BOLDIN","2025-10-20","","175","45","2026-07-27","In Lactation","","20.9","50.7","0","x","","2025-07-28","3352078"
"158","","","DD1528","1","275","59.1","Pregnant","SAVYSTRIDE","2025-12-21","","113","107","2026-09-27","In Lactation","","19.4","59.1","0","x","","2025-07-12","3087680"
"1157","","","DD1529","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-10-08",""
"206","","","DD1530","1","262","49.4","Pregnant","MITCHELL sexed","2025-10-04","","191","29","2026-07-11","In Lactation","x","0.0","49.4","0","x","","2025-07-25","3543433"
"1162","","","DD1533","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-10-31",""
"804","","","US DD1393","3","415","34.0","Open Cyclic","ANGUS BLEND 17","2026-03-05","x","","","","In Lactation","","13.0","34.0","0","x","","2025-02-22","3087379"
"48","","","DD1534","1","246","54.2","Pregnant","GIANT","2025-10-16","","179","41","2026-07-23","In Lactation","","18.3","54.2","0","x","","2025-08-10","3087565"
"148","","","DD1535","1","286","68.3","Pregnant","BEETHOVEN SEXED","2025-09-20","","205","15","2026-06-27","In Lactation","","19.0","68.3","0","x","","2025-07-01","3087735"
"262","","","DD1537","1","291","52.7","Pregnant","DO IT NOW SEXED","2025-12-17","","117","103","2026-09-23","In Lactation","","30.2","52.7","0","x","","2025-06-26","6634652"
"1169","","","DD1539","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-12-01",""
"134","","","DD1540","1","163","61.3","Inseminated","SAVYSTRIDE","2026-03-26","","","","","In Lactation","","16.8","61.3","0","x","","2025-11-01","3087229"
"7","","","DD1542","1","278","44.1","Pregnant","BOLDNESS SEXED","2025-09-22","","203","17","2026-06-29","In Lactation","","23.1","44.1","0","x","","2025-07-09","3087274"
"207","","","DD1543","1","265","53.4","Pregnant","BOLDNESS SEXED","2025-09-22","","203","17","2026-06-29","In Lactation","","16.8","53.4","4","x","","2025-07-22","3086128"
"1174","","","DD1544","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-12-16",""
"15","","","DD1546","1","286","46.7","Pregnant","BEETHOVEN SEXED","2025-10-21","","174","46","2026-07-28","In Lactation","","24.0","46.7","1","x","","2025-07-01","3087121"
"135","","","DD1547","1","456","","Pregnant","CHAROLAIS BLEND 4","2025-09-20","","205","","2026-06-27","Dry Off","","21.4","","81","x","","2025-01-12","3086678"
"159","","","DD1548","1","299","73.0","Inseminated","LUCKYCHARM SEXED","2026-02-16","","","","","In Lactation","","24.3","73.0","0","x","","2025-06-18","3087807"
"61","","","DD1550","1","266","50.5","Pregnant","ANGUS BLEND 17","2025-11-17","","147","73","2026-08-24","In Lactation","","17.2","50.5","1","x","","2025-07-21","3086148"
"155","","","DD1551","1","296","47.8","Pregnant","GIANT","2025-09-23","","202","18","2026-06-30","In Lactation","","15.0","47.8","0","x","","2025-06-21","3086104"
"1183","","","DD1553","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-01-31",""
"1184","","","US DD1554","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-02-14",""
"106","","","US DD1556","","","0.0","Inseminated","LUCKYCHARM SEXED","2026-02-16","","","","","Young Stock","","","0.0","0","","","2023-02-19","3087159"
"20","","","DD1558","1","153","51.6","Inseminated","ANGUS BLEND 17","2026-03-19","","","","","In Lactation","","21.8","51.6","0","x","","2025-11-11","3086114"
"74","","","US DD1559","1","266","55.6","Inseminated","ANGUS BLEND 17","2026-03-19","","","","","In Lactation","","19.6","55.6","3","x","","2025-07-21","3087864"
"264","","","US DD1560","1","279","46.1","Pregnant","SAVYSTRIDE","2025-11-27","","137","83","2026-09-03","In Lactation","","15.7","46.1","0","x","","2025-07-08","6633230"
"165","","","US DD1563","1","291","54.7","Inseminated","ANGUS BLEND 17","2026-03-04","x","","","","In Lactation","","23.6","54.7","0","x","","2025-06-26","5925519"
"186","","","US DD1564","1","253","66.8","Pregnant","GIANT","2025-09-23","","202","18","2026-06-30","In Lactation","","28.0","66.8","0","x","","2025-08-03","3087125"
"84","","","US DD1565","1","257","80.0","Inseminated","ANGUS BLEND 17","2026-03-23","x","","","","In Lactation","","31.3","80.0","0","x","","2025-07-30","3086109"
"25","","","US DD1567","1","284","28.7","Pregnant","ADAGIO","2025-09-26","","199","21","2026-07-03","In Lactation","","10.1","28.7","1","x","","2025-07-03","3087364"
"168","","","US DD1568","1","260","81.6","Inseminated","ANGUS BLEND 17","2026-03-05","","","","","In Lactation","","27.1","81.6","0","x","","2025-07-27","3183540"
"1200","","","US DD1569","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-10-30","","165","","2026-08-06","Young Stock","","","0.0","","","","2023-05-01",""
"1201","","","US DD1570","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-05-04",""
