"Animal Number","Sick Change Status","Sick Chance","Animal Life No. ","Lactation No.","Lactation days","Day Production","Reproduction Status","Sire","Last Insemination","Inseminate","Days Pregnant","Days to Dry Off","Expected Calving Date","Production Status","Too Late for Milking","Milk Visit Yield","Day Production (24h)","Nr of Refusal","Last Milk","Train Cow","Calving Date","Animal Tag Id"
"AVG","","","","","","","","","","","","","","","","21.1","27.1","","","","",""
"SUM","","","","","","","","","","","","","","","","","","","","","",""
"55","","","DD1510","1","279","39.7","Pregnant","GIANT","2025-10-31","","158","62","2026-08-07","In Lactation","","19.0","39.7","1","x","","2025-07-02","3183487"
"214","","","DD1511","1","297","62.2","Pregnant","ANGUS BLEND 17","2025-10-27","","162","58","2026-08-03","In Lactation","","19.2","62.2","0","x","","2025-06-14","6635135"
"1141","","","DD1512","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-09-08",""
"183","","","DD1513","1","267","75.6","Pregnant","ANGUS BLEND 17","2026-01-02","","95","125","2026-10-09","In Lactation","","32.0","75.6","0","x","","2025-07-14","3087417"
"41","","","DD1514","1","275","73.9","Pregnant","SAVYSTRIDE","2025-11-10","","148","72","2026-08-17","In Lactation","","24.0","73.9","0","x","","2025-07-06","3087391"
"808","","","DD1521","1","236","60.6","Pregnant","POWERHOUSE -SEXED","2025-12-23","","105","115","2026-09-29","In Lactation","","17.2","60.6","0","x","","2025-08-14","3087269"
"87","","","DD1522","1","296","63.5","Pregnant","DO IT NOW SEXED","2025-09-02","","217","3","2026-06-09","In Lactation","","31.7","63.5","0","x","","2025-06-15","3087609"
"82","","","DD1523","1","281","37.0","Pregnant","BOLDNESS SEXED","2025-10-08","","181","39","2026-07-15","In Lactation","","20.5","37.0","0","x","","2025-06-30","3087220"
"803","","","DD1524","1","256","56.9","Inseminated","ANGUS BLEND 17","2026-03-04","","","","","In Lactation","","26.9","56.9","0","x","","2025-07-25","5927959"
"140","","","DD1525","1","253","51.4","Pregnant","BOLDIN","2025-10-20","","169","51","2026-07-27","In Lactation","","22.3","51.4","0","x","","2025-07-28","3352078"
"158","","","DD1528","1","269","60.0","Pregnant","SAVYSTRIDE","2025-12-21","","107","113","2026-09-27","In Lactation","","16.5","60.0","3","x","","2025-07-12","3087680"
"1157","","","DD1529","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-10-08",""
"206","","","DD1530","1","256","51.1","Pregnant","MITCHELL sexed","2025-10-04","","185","35","2026-07-11","In Lactation","","25.8","51.1","0","x","","2025-07-25","3543433"
"1162","","","DD1533","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-10-31",""
"804","","","US DD1393","3","409","32.2","Inseminated","ANGUS BLEND 17","2026-03-05","","","","","In Lactation","","9.3","32.2","0","x","","2025-02-22","3087379"
"48","","","DD1534","1","240","55.3","Pregnant","GIANT","2025-10-16","","173","47","2026-07-23","In Lactation","","21.6","55.3","0","x","","2025-08-10","3087565"
"148","","","DD1535","1","280","66.4","Pregnant","BEETHOVEN SEXED","2025-09-20","","199","21","2026-06-27","In Lactation","","31.1","66.4","0","x","","2025-07-01","3087735"
"262","","","DD1537","1","285","54.9","Pregnant","DO IT NOW SEXED","2025-12-17","","111","109","2026-09-23","In Lactation","","28.2","54.9","0","x","","2025-06-26","6634652"
"1169","","","DD1539","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-12-01",""
"134","","","DD1540","1","157","64.2","Inseminated","SAVYSTRIDE","2026-03-26","","","","","In Lactation","","19.4","64.2","0","x","","2025-11-01","3087229"
"7","","","DD1542","1","272","45.9","Pregnant","BOLDNESS SEXED","2025-09-22","","197","23","2026-06-29","In Lactation","","19.6","45.9","1","x","","2025-07-09","3087274"
"207","","","DD1543","1","259","64.2","Pregnant","BOLDNESS SEXED","2025-09-22","","197","23","2026-06-29","In Lactation","","20.9","64.2","3","x","","2025-07-22","3086128"
"1174","","","DD1544","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2022-12-16",""
"15","","","DD1546","1","280","48.9","Pregnant","BEETHOVEN SEXED","2025-10-21","","168","52","2026-07-28","In Lactation","","25.4","48.9","0","x","","2025-07-01","3087121"
"135","","","DD1547","1","450","","Pregnant","CHAROLAIS BLEND 4","2025-09-20","","199","","2026-06-27","Dry Off","","21.4","","79","x","","2025-01-12","3086678"
"159","","","DD1548","1","293","76.3","Inseminated","LUCKYCHARM SEXED","2026-02-16","","","","","In Lactation","","20.1","76.3","0","x","","2025-06-18","3087807"
"61","","","DD1550","1","260","52.0","Pregnant","ANGUS BLEND 17","2025-11-17","","141","79","2026-08-24","In Lactation","","22.9","52.0","0","x","","2025-07-21","3086148"
"155","","","DD1551","1","290","50.3","Pregnant","GIANT","2025-09-23","","196","24","2026-06-30","In Lactation","","18.5","50.3","0","x","","2025-06-21","3086104"
"1183","","","DD1553","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-01-31",""
"1184","","","US DD1554","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-02-14",""
"106","","","US DD1556","","","0.0","Inseminated","LUCKYCHARM SEXED","2026-02-16","","","","","Young Stock","","","0.0","0","","","2023-02-19","3087159"
"20","","","DD1558","1","147","51.8","Inseminated","ANGUS BLEND 17","2026-03-19","x","","","","In Lactation","","17.4","51.8","0","x","","2025-11-11","3086114"
"74","","","US DD1559","1","260","55.6","Inseminated","ANGUS BLEND 17","2026-03-19","x","","","","In Lactation","","21.6","55.6","0","x","","2025-07-21","3087864"
"264","","","US DD1560","1","273","44.3","Pregnant","SAVYSTRIDE","2025-11-27","","131","89","2026-09-03","In Lactation","","21.8","44.3","0","x","","2025-07-08","6633230"
"165","","","US DD1563","1","285","51.1","Inseminated","ANGUS BLEND 17","2026-03-04","","","","","In Lactation","","24.5","51.1","0","x","","2025-06-26","5925519"
"186","","","US DD1564","1","247","74.5","Pregnant","GIANT","2025-09-23","","196","24","2026-06-30","In Lactation","","22.5","74.5","0","x","","2025-08-03","3087125"
"84","","","US DD1565","1","251","85.3","Inseminated","ANGUS BLEND 17","2026-03-23","","","","","In Lactation","","26.2","85.3","0","x","","2025-07-30","3086109"
"25","","","US DD1567","1","278","32.6","Pregnant","ADAGIO","2025-09-26","","193","27","2026-07-03","In Lactation","","8.8","32.6","0","x","","2025-07-03","3087364"
"168","","","US DD1568","1","254","84.9","Inseminated","ANGUS BLEND 17","2026-03-05","","","","","In Lactation","","27.8","84.9","0","x","","2025-07-27","3183540"
"1200","","","US DD1569","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-10-30","","159","","2026-08-06","Young Stock","","","0.0","","","","2023-05-01",""
"1201","","","US DD1570","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-05-04",""
"10","","","US DD1571","1","266","58.9","Pregnant","MITCHELL sexed","2025-09-07","","212","8","2026-06-14","In Lactation","x","32.0","58.9","1","x","","2025-07-15","3086174"
"345","","","US DD1572","1","14","63.3","Open","","","","","","","In Lactation","x","0.9","63.3","0","x","","2026-03-24","3184368"
"263","","","US DD1573","1","151","32.8","Open Cyclic","BOLDNESS SEXED","2026-02-09","","","","","In Lactation","","13.4","32.8","0","x","","2025-11-07","6634659"
"99","","","US DD1585","1","243","53.8","Pregnant","BEETHOVEN SEXED","2025-10-12","","177","43","2026-07-19","In Lactation","","19.6","53.8","0","x","","2025-08-07","3352005"
"185","","","US DD1586","1","239","55.8","Pregnant","GIANT","2025-12-24","","104","116","2026-09-30","In Lactation","","20.1","55.8","0","x","","2025-08-11","3087303"
"1219","","","US DD1589","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-06",""
"1220","","","US DD1590","","","0.0","Pregnant","Anderson Bull 3-25-2025","2025-07-22","","259","","2026-04-28","Young Stock","","","0.0","","","","2023-06-10",""
"1222","","","US DD1600","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-18",""
"1223","","","US DD1601","","","0.0","Never inseminated","","","x","","","","Young Stock","","","0.0","","","","2023-06-18",""
